type,datetime,throughput,exectime
read,"Thu, 11 Feb 2016 08:07:46 GMT",6.379841402459269,216.957
write,"Thu, 11 Feb 2016 08:16:23 GMT",2.586681586071237,510.598
read,"Thu, 11 Feb 2016 08:18:44 GMT",11.298722208674217,136.613
write,"Thu, 11 Feb 2016 08:27:26 GMT",2.383422817618897,515.671
read,"Thu, 11 Feb 2016 08:30:49 GMT",7.680430104085829,195.394
write,"Thu, 11 Feb 2016 08:39:44 GMT",2.354242356988973,528.494
read,"Thu, 11 Feb 2016 08:43:15 GMT",7.737472709288965,202.396
write,"Thu, 11 Feb 2016 08:51:06 GMT",2.8048684569284985,464.017
read,"Thu, 11 Feb 2016 08:53:53 GMT",10.35699258827718,160.88
write,"Thu, 11 Feb 2016 09:02:40 GMT",2.571906624572414,519.92
read,"Thu, 11 Feb 2016 09:05:31 GMT",9.381974178461567,165.562
write,"Thu, 11 Feb 2016 09:15:08 GMT",2.2897070987598376,570.76
read,"Thu, 11 Feb 2016 09:17:44 GMT",10.20287784923335,151.682
write,"Thu, 11 Feb 2016 09:26:22 GMT",2.654427837250172,511.641
read,"Thu, 11 Feb 2016 09:28:13 GMT",13.149686996356715,105.618
write,"Thu, 11 Feb 2016 09:36:21 GMT",2.6982939699088506,482.52
read,"Thu, 11 Feb 2016 09:38:44 GMT",11.536331754137697,137.822
write,"Thu, 11 Feb 2016 09:47:46 GMT",2.4829908659559967,535.732
read,"Thu, 11 Feb 2016 09:49:49 GMT",13.505323629758305,119.06
write,"Thu, 11 Feb 2016 09:57:17 GMT",3.0142841273010057,441.438
read,"Thu, 11 Feb 2016 09:59:57 GMT",11.053090064031933,151.506
write,"Thu, 11 Feb 2016 10:07:20 GMT",3.005570637328123,436.368
read,"Thu, 11 Feb 2016 10:10:04 GMT",10.964674332040035,157.859
write,"Thu, 11 Feb 2016 10:18:13 GMT",2.9552685018432565,482.433
read,"Thu, 11 Feb 2016 10:21:27 GMT",9.097639276328284,186.905
write,"Thu, 11 Feb 2016 10:30:19 GMT",2.693384290667788,524.782
read,"Thu, 11 Feb 2016 10:32:46 GMT",11.742297664310216,143.473
write,"Thu, 11 Feb 2016 10:40:18 GMT",2.8556322616720546,443.947
read,"Thu, 11 Feb 2016 10:42:32 GMT",12.930595567068575,127.787
write,"Thu, 11 Feb 2016 10:51:11 GMT",2.473360235591685,512.723
read,"Thu, 11 Feb 2016 10:54:58 GMT",7.703320725030127,221.37
write,"Thu, 11 Feb 2016 11:04:04 GMT",2.4688726592515446,539.364
read,"Thu, 11 Feb 2016 11:06:17 GMT",12.990837129544628,126.66
write,"Thu, 11 Feb 2016 11:14:04 GMT",3.3475196100139653,460.518
read,"Thu, 11 Feb 2016 11:16:42 GMT",11.147611798353637,153.805
write,"Thu, 11 Feb 2016 11:25:47 GMT",2.241855269747032,537.796
read,"Thu, 11 Feb 2016 11:29:42 GMT",6.66918799023742,221.716
write,"Thu, 11 Feb 2016 11:38:42 GMT",2.566522800587541,534.567
read,"Thu, 11 Feb 2016 11:42:37 GMT",6.719811979660809,231.136
write,"Thu, 11 Feb 2016 11:51:16 GMT",2.495639130581718,513.783
read,"Thu, 11 Feb 2016 11:55:40 GMT",5.7853853452332284,260.17
write,"Thu, 11 Feb 2016 12:02:48 GMT",3.2352183715110443,420.633
read,"Thu, 11 Feb 2016 12:05:57 GMT",8.727037890616762,181.851
write,"Thu, 11 Feb 2016 12:13:27 GMT",2.8720075476358353,442.942
read,"Thu, 11 Feb 2016 12:16:46 GMT",9.104099689891605,193.62
write,"Thu, 11 Feb 2016 12:26:12 GMT",2.378101725877601,558.921
read,"Thu, 11 Feb 2016 12:28:22 GMT",11.14076307728301,125.673
write,"Thu, 11 Feb 2016 12:36:25 GMT",2.7086606886149065,476.517
read,"Thu, 11 Feb 2016 12:39:53 GMT",7.129539121340746,199.333
write,"Thu, 11 Feb 2016 12:48:04 GMT",2.9135504070017473,484.286
read,"Thu, 11 Feb 2016 12:52:01 GMT",6.77852743270052,231.934
write,"Thu, 11 Feb 2016 13:01:31 GMT",2.368929359414851,564.066
read,"Thu, 11 Feb 2016 13:06:14 GMT",6.105324478916915,274.899
write,"Thu, 11 Feb 2016 13:13:53 GMT",2.866420676017847,452.583
read,"Thu, 11 Feb 2016 13:16:10 GMT",11.655628624475558,132.668
write,"Thu, 11 Feb 2016 13:22:56 GMT",3.2286367162181686,399.322
read,"Thu, 11 Feb 2016 13:26:24 GMT",9.089834837700998,194.966
write,"Thu, 11 Feb 2016 13:34:09 GMT",2.8193799478649657,457.857
read,"Thu, 11 Feb 2016 13:37:54 GMT",7.806745320710043,207.141
write,"Thu, 11 Feb 2016 13:46:33 GMT",2.544828344170856,511.666
read,"Thu, 11 Feb 2016 13:49:13 GMT",9.683186317012188,155.158
write,"Thu, 11 Feb 2016 13:56:52 GMT",3.038930985117595,452.836
read,"Thu, 11 Feb 2016 13:59:55 GMT",9.462291487072045,175.884
write,"Thu, 11 Feb 2016 14:07:46 GMT",2.946264734776328,462.232
read,"Thu, 11 Feb 2016 14:11:09 GMT",7.289896082531343,196.172
write,"Thu, 11 Feb 2016 14:18:15 GMT",3.1565376333267245,419.412
read,"Thu, 11 Feb 2016 14:21:29 GMT",8.021476165520486,187.776
write,"Thu, 11 Feb 2016 14:29:58 GMT",2.6725269243168213,501.822
read,"Thu, 11 Feb 2016 14:33:11 GMT",8.235392215701394,189.865
write,"Thu, 11 Feb 2016 14:42:31 GMT",2.229206035761109,552.269
read,"Thu, 11 Feb 2016 14:45:09 GMT",10.884625240085354,148.722
